Issue key,Pool,Service,Category,Issue Type,Description
IT-60619,japan-pool,Access Controls/Exceptions,PAM Secure Access,Service Request,"Change access permission for following folder.

\\global\japan\corp\Finance\Accounting\JAPAN_ACCOUNTING\FP&A

Add read write access permission : noda, akatsuka"
IT-60617,India-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-59736 is complete. Please look up and identify the old system for recovery.
IT-60590,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 882246  to SAP
SAP Error Exception :  PU Ordered quantity exceeded by 8,321 EA : 3280;"
IT-60573,VCAD-Pool,VCAD,VCAD Chamber Issues,Incident,"upgrading sv11lv01 to centOS 7.4Â 

Â "
IT-60563,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfsb088, Service: Vormetric, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: Vormetric"
IT-60552,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
tfohw405, Service: AutoMounter Processes, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: AutoMounter Processes"
IT-60551,coupa-pool,Coupa,Coupa Integration,Incident,"

There is a problem posting the Invoice Void ID : 143558 ; Invoice Number : 3132318850 to SAP
SAP Error Exception : Invoice document 100390355 2020 does not exist; "
IT-60548,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10712, Service: Vormetric, State: CRITICAL, DETAILS: CRITICAL: Please check vormetric Host settings. Vormetric daemons are running., Service: Vormetric"
IT-60541,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10714, Service: LSF Status, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: LSF Status"
IT-60538,ccms-pool,CCMS,CCMS Roles,Service Request,"Hi Expert,  

Â  

Would you please change the CCR manager of PROTO to slai? 

Â  

Thanks 

Jian An"
IT-60533,asiapac-pool,Outlook,Alias Issue,Incident,problem to receive emailÂ whenÂ customer email to mtk_hw_sup
IT-60530,asiapac-pool,Personal Computing Software,Install/Configure Software,Service Request,request to disable Hyper V
IT-60528,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"Alert:Â Utilization rate for CPU 1 has exceeded major threshold.Â Utilization rate for CPU 1 has exceeded major threshold.Â  Percentage of time the CPU was busy = 99.980000 (Threshold = 95) Percentage of time the CPU utilized in user mode = 99.840000 (Threshold = 95)Â  [Policy: Sys_CPUSpikeCheck]

Â 

Object:Â CPU 1Â 

Ci:Â sjfgm04
Â 
Â "
IT-60527,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfhw449, Service: LSF Status, State: CRITICAL, DETAILS: CRITICAL: Cluster sjlsf01 - Server status is unreach, Service: LSF Status"
